usuarios_id,nombre,edad,pais,tiempo,estado,suscripcion,clicks,compras
1,Valentina,60,Barcelona,37,Inactivo,Premium,15,2
2,Santiago,24,México,66,Inactivo,Premium,114,2
3,Valentina,56,México,120,Inactivo,Free,112,1
4,Florencia,38,Argentina,167,Inactivo,Premium,129,0
5,Mariana,60,Ecuador,191,Activo,Premium,161,1
6,Juan,27,Barcelona,6,Activo,Free,153,3
7,Alejandro,45,Colombia,191,Inactivo,Premium,164,5
8,Felipe,36,Barcelona,182,Activo,Premium,198,2
9,Valentina,34,Ecuador,71,Inactivo,Free,60,3
10,Emilia,18,Ecuador,55,Activo,Premium,102,1
11,Julián,53,Ecuador,15,Inactivo,Free,77,0
12,Mateo,28,Colombia,149,Activo,Premium,179,3
13,Felipe,38,Ecuador,92,Activo,Premium,99,0
14,Florencia,39,Ecuador,111,Activo,Premium,262,1
15,Lucía,41,México,157,Activo,Free,15,0
16,Martina,32,Ecuador,70,Inactivo,Free,124,0
17,Julián,39,Argentina,22,Activo,Free,23,1
18,Camila,35,México,54,Activo,Premium,244,5
19,Andrés,60,Barcelona,122,Inactivo,Free,127,4
20,Samuel,27,Argentina,133,Activo,Free,39,0
21,Tomás,26,México,31,Inactivo,Free,95,5
22,Laura,28,Barcelona,123,Activo,Premium,56,1
23,Nicolás,35,Argentina,57,Activo,Premium,244,1
24,Juan,48,Barcelona,174,Activo,Premium,70,2
25,Julián,21,Ecuador,147,Inactivo,Premium,146,1
26,Daniel,44,Barcelona,78,Activo,Premium,148,5
27,Gabriela,53,Colombia,7,Inactivo,Free,53,3
28,Carolina,33,Barcelona,139,Inactivo,Free,154,3
29,Santiago,26,Ecuador,53,Activo,Free,217,4
30,Carolina,18,Argentina,6,Inactivo,Free,281,0
31,Isabella,38,Barcelona,6,Inactivo,Free,278,4
32,Natalia,31,Argentina,191,Activo,Premium,293,1
33,Florencia,45,Ecuador,55,Activo,Free,30,2
34,Valentina,59,Barcelona,94,Activo,Free,79,4
35,Martina,49,México,177,Inactivo,Premium,263,3
36,Carolina,49,México,188,Inactivo,Free,151,4
37,David,47,Colombia,200,Inactivo,Free,224,2
38,Emilia,47,México,175,Activo,Premium,49,1
39,Lucía,34,Barcelona,78,Activo,Free,237,3
40,Gabriela,30,Argentina,31,Activo,Premium,109,5
41,Alejandro,46,México,141,Inactivo,Premium,295,3
42,Mateo,26,Ecuador,105,Inactivo,Free,225,1
43,Paula,27,México,50,Inactivo,Free,180,4
44,Felipe,30,México,40,Inactivo,Premium,180,3
45,Mariana,59,Colombia,180,Activo,Free,143,1
46,Alejandro,32,Argentina,188,Activo,Premium,23,0
47,Lucía,23,Colombia,24,Inactivo,Premium,214,1
48,Miguel,32,Barcelona,178,Activo,Premium,257,0
49,Paula,41,Argentina,185,Inactivo,Premium,82,2
50,Isabella,58,México,102,Activo,Free,114,3
51,Julián,49,Colombia,104,Activo,Premium,79,5
52,Santiago,55,México,108,Inactivo,Free,116,0
53,Emilia,45,Argentina,102,Inactivo,Free,141,5
54,Valentina,58,Argentina,82,Activo,Free,232,1
55,Antonia,46,Argentina,200,Inactivo,Premium,279,0
56,Emilia,29,Barcelona,128,Activo,Free,238,5
57,Miguel,30,México,142,Activo,Free,279,0
58,Juan,19,México,40,Activo,Free,158,4
59,Santiago,54,Argentina,172,Inactivo,Premium,292,5
60,Natalia,40,Colombia,59,Activo,Free,75,2
61,Julián,23,Colombia,90,Inactivo,Free,290,5
62,Julián,36,Ecuador,125,Inactivo,Free,239,4
63,Isabella,43,Colombia,140,Inactivo,Premium,191,2
64,Sebastián,49,México,155,Inactivo,Premium,108,3
65,Isabella,27,Argentina,167,Inactivo,Free,252,0
66,Valentina,28,México,106,Activo,Premium,25,0
67,Laura,46,Argentina,121,Activo,Free,176,1
68,Emilia,46,México,173,Activo,Free,24,4
69,Laura,55,Barcelona,28,Inactivo,Premium,152,2
70,Valentina,51,Colombia,153,Activo,Free,83,3
71,Florencia,45,Barcelona,89,Activo,Free,22,3
72,Sara,25,Ecuador,30,Inactivo,Free,159,3
73,Martina,49,Argentina,8,Activo,Premium,129,0
74,Andrés,48,Barcelona,106,Activo,Free,90,0
75,Carolina,49,Colombia,26,Activo,Free,184,2
76,Isabella,25,Argentina,165,Activo,Free,98,5
77,Andrés,28,México,21,Inactivo,Premium,217,3
78,Antonia,44,Ecuador,36,Inactivo,Free,178,2
79,Mateo,24,Barcelona,117,Activo,Free,101,0
80,Santiago,21,Ecuador,153,Inactivo,Premium,168,4
81,Santiago,18,Colombia,136,Inactivo,Premium,197,0
82,Antonia,28,Barcelona,39,Activo,Premium,223,3
83,Carolina,27,Barcelona,43,Activo,Premium,124,4
84,Paula,39,Argentina,88,Inactivo,Free,273,2
85,Martina,25,Barcelona,125,Inactivo,Free,141,5
86,Isabella,30,México,179,Activo,Premium,135,1
87,Tomás,33,Argentina,90,Activo,Premium,85,2
88,Laura,18,Colombia,52,Activo,Premium,187,3
89,Martina,43,Barcelona,184,Inactivo,Premium,267,3
90,Natalia,29,México,8,Inactivo,Premium,268,2
91,Carolina,23,México,178,Inactivo,Free,51,2
92,Samuel,48,Colombia,140,Inactivo,Premium,295,1
93,Samuel,36,México,136,Activo,Premium,66,3
94,Daniel,26,Ecuador,139,Inactivo,Premium,117,0
95,Lucía,49,México,189,Inactivo,Free,80,5
96,Felipe,19,Argentina,61,Activo,Premium,227,4
97,Samuel,41,Barcelona,5,Activo,Premium,165,4
98,Natalia,51,Argentina,107,Activo,Free,242,3
99,Carolina,32,Barcelona,143,Inactivo,Premium,157,0
100,Andrés,29,Ecuador,165,Activo,Free,11,3
101,Martina,20,Ecuador,165,Inactivo,Free,188,1
102,Felipe,30,Ecuador,83,Activo,Premium,299,2
103,Samuel,41,Colombia,34,Activo,Premium,284,0
104,David,22,México,75,Inactivo,Free,264,0
105,Natalia,19,Ecuador,194,Inactivo,Free,29,0
106,Felipe,39,Barcelona,5,Inactivo,Free,167,4
107,Antonia,37,México,91,Inactivo,Premium,225,3
108,Daniel,28,Argentina,47,Activo,Free,61,2
109,Carolina,24,Argentina,89,Inactivo,Free,68,3
110,Julián,37,Argentina,101,Activo,Premium,204,5
111,Mariana,37,Colombia,60,Inactivo,Free,229,2
112,Samuel,26,Ecuador,111,Activo,Premium,196,3
113,Daniel,19,Argentina,137,Inactivo,Free,254,2
114,Laura,42,Barcelona,183,Activo,Premium,121,5
115,Mateo,51,México,84,Inactivo,Premium,33,1
116,Emilia,43,Colombia,144,Inactivo,Premium,279,0
117,Sebastián,58,México,184,Activo,Free,182,1
118,Julián,55,Colombia,189,Activo,Free,291,2
119,Emilia,33,Argentina,96,Activo,Premium,40,5
120,Miguel,26,Barcelona,56,Inactivo,Free,158,2
121,Nicolás,41,Barcelona,13,Activo,Premium,210,1
122,Andrés,57,México,39,Activo,Free,245,4
123,Valentina,18,Barcelona,188,Inactivo,Free,120,2
124,Laura,53,Colombia,134,Activo,Free,175,0
125,Lucía,50,México,174,Inactivo,Free,207,2
126,Camila,53,Colombia,61,Inactivo,Premium,179,1
127,Isabella,44,Ecuador,157,Activo,Premium,192,5
128,Antonia,45,Argentina,169,Activo,Premium,105,5
129,Santiago,57,Colombia,154,Inactivo,Premium,75,5
130,Florencia,41,Argentina,134,Inactivo,Premium,279,0
131,Mariana,23,Argentina,153,Inactivo,Free,76,3
132,Sebastián,37,Argentina,121,Activo,Premium,168,5
133,Miguel,30,Ecuador,178,Activo,Free,268,1
134,Emilia,48,Colombia,139,Activo,Free,141,2
135,Tomás,20,México,17,Activo,Free,107,1
136,Gabriela,38,Ecuador,49,Inactivo,Free,165,5
137,Valentina,47,México,27,Activo,Premium,108,2
138,Mariana,19,Barcelona,67,Activo,Premium,85,3
139,Paula,31,México,112,Inactivo,Premium,80,3
140,Laura,46,México,81,Inactivo,Free,253,2
141,Valentina,48,Colombia,156,Inactivo,Premium,66,2
142,Sara,59,México,193,Activo,Free,160,3
143,Martina,41,Barcelona,178,Activo,Premium,21,0
144,Isabella,58,México,8,Inactivo,Free,261,3
145,Samuel,60,Colombia,58,Activo,Premium,290,5
146,Sebastián,41,Argentina,151,Activo,Free,115,5
147,Samuel,32,Ecuador,43,Activo,Premium,96,5
148,Felipe,46,Colombia,68,Activo,Premium,12,0
149,Mateo,18,Argentina,127,Activo,Premium,216,4
150,Alejandro,26,México,85,Activo,Free,114,2
151,Sebastián,39,México,177,Activo,Premium,56,3
152,Natalia,18,Argentina,42,Inactivo,Free,160,5
153,Julián,57,Argentina,86,Activo,Premium,153,5
154,Antonia,24,Ecuador,24,Activo,Free,144,1
155,Martina,50,México,101,Inactivo,Free,20,4
156,Florencia,37,Colombia,47,Activo,Premium,151,4
157,Emilia,38,Barcelona,59,Inactivo,Premium,243,4
158,Martina,26,Barcelona,133,Activo,Premium,111,4
159,Florencia,38,Barcelona,46,Inactivo,Premium,98,3
160,Alejandro,58,Barcelona,113,Activo,Premium,162,3
161,Miguel,45,Barcelona,29,Inactivo,Free,28,2
162,Mariana,49,México,48,Inactivo,Premium,90,0
163,Sebastián,20,Argentina,193,Activo,Free,279,3
164,Sebastián,50,Argentina,59,Inactivo,Premium,177,5
165,Mateo,52,México,163,Inactivo,Free,43,1
166,Felipe,57,Argentina,106,Inactivo,Premium,227,0
167,Martina,51,Argentina,142,Inactivo,Free,37,3
168,Gabriela,33,Ecuador,136,Activo,Premium,278,1
169,Alejandro,54,Colombia,8,Activo,Premium,249,2
170,Camila,25,Colombia,96,Inactivo,Free,136,3
171,Samuel,20,Colombia,51,Inactivo,Free,127,2
172,Felipe,30,Argentina,60,Inactivo,Premium,238,2
173,Andrés,21,Colombia,132,Activo,Premium,105,3
174,Paula,27,Barcelona,18,Inactivo,Premium,240,0
175,Samuel,38,Ecuador,168,Activo,Premium,252,3
176,Laura,33,Colombia,194,Activo,Free,191,1
177,Florencia,53,Barcelona,111,Inactivo,Premium,261,1
178,Antonia,43,Colombia,125,Inactivo,Free,268,2
179,Antonia,24,Barcelona,135,Inactivo,Free,261,5
180,Tomás,59,Ecuador,125,Activo,Free,264,1
181,Camila,25,Argentina,185,Inactivo,Free,160,1
182,Florencia,41,Colombia,196,Inactivo,Premium,278,1
183,David,31,Argentina,15,Inactivo,Free,135,5
184,Mariana,31,Argentina,143,Inactivo,Premium,16,2
185,Paula,58,México,158,Inactivo,Free,38,3
186,Miguel,43,México,101,Activo,Free,274,0
187,Gabriela,38,México,85,Activo,Premium,69,1
188,Santiago,49,Colombia,128,Activo,Free,286,0
189,Valentina,32,Barcelona,64,Activo,Free,18,2
190,Felipe,60,México,106,Inactivo,Free,101,5
191,Miguel,30,Colombia,170,Inactivo,Premium,102,4
192,Tomás,47,Ecuador,181,Inactivo,Premium,78,5
193,Antonia,55,Colombia,41,Activo,Premium,211,1
194,David,29,Argentina,121,Activo,Free,40,3
195,David,26,Argentina,136,Inactivo,Free,50,5
196,Sara,33,Argentina,29,Inactivo,Free,29,5
197,Mateo,36,Barcelona,66,Inactivo,Premium,45,0
198,Mateo,41,Argentina,85,Inactivo,Premium,76,4
199,Santiago,59,Barcelona,28,Activo,Free,86,3
200,Santiago,23,Barcelona,71,Inactivo,Premium,82,0
